City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mar del plata,20,ES,1604024384,93,43.4,-4.01,55.99,2.24
saint-pierre,75,RE,1604024384,56,-21.34,55.48,69.8,14.99
nerja,0,ES,1604024384,77,36.76,-3.89,59.0,3.22
mataura,100,NZ,1604024384,91,-46.19,168.86,61.0,1.99
bathsheba,40,BB,1604024385,88,13.22,-59.52,80.6,23.04
albany,100,US,1604024385,90,42.6,-73.97,42.01,10.85
baturaja,3,ID,1604024094,61,-4.13,104.17,86.97,2.66
rikitea,100,PF,1604024208,73,-23.12,-134.97,75.56,6.73
hobart,40,AU,1604024091,67,-42.88,147.33,66.0,17.22
tabou,100,CI,1604024385,91,4.42,-7.35,76.98,7.36
saint-francois,90,FR,1604024385,93,46.42,3.91,53.6,3.36
ushuaia,75,AR,1604024246,70,-54.8,-68.3,44.6,12.75
vaini,20,TO,1604024386,65,-21.2,-175.2,77.0,9.17
jinxiang,22,CN,1604024386,64,27.43,120.61,67.6,14.88
linjiang,0,CN,1604024386,45,41.81,126.91,48.27,1.23
belyy yar,100,RU,1604024386,86,55.84,32.94,44.4,5.61
cape town,0,CL,1604024386,63,-36.41,-71.9,62.6,5.82
clyde river,100,US,1604024386,86,41.3,-82.98,46.99,1.01
agogo,71,GH,1604024387,100,6.8,-1.08,69.93,2.8
galveston,90,US,1604024387,62,29.37,-94.97,57.2,29.97
east london,75,IS,1604024387,75,65.0,-15.0,46.4,3.36
srednekolymsk,100,RU,1604024387,93,67.45,153.68,6.04,1.36
taywarah,0,AF,1604024387,73,33.35,64.42,20.28,3.53
jatibonico,10,CU,1604024387,89,21.94,-79.17,74.62,5.44
chokurdakh,98,RU,1604024388,93,70.63,147.92,-3.71,1.72
busselton,0,AU,1604024388,26,-33.65,115.33,82.99,6.02
port elizabeth,100,CD,1604024163,63,-7.03,29.76,75.45,2.48
port alfred,100,CD,1604024163,63,-7.03,29.76,75.45,2.48
nikolskoye,90,RU,1604024388,93,59.7,30.79,50.0,4.47
namibe,1,AO,1604024292,74,-15.2,12.15,69.12,4.76
kathmandu,20,NP,1604024171,93,27.72,85.32,55.4,2.24
tiksi,98,RU,1604024308,95,71.69,128.87,9.86,5.46
nome,1,US,1604024389,68,64.5,-165.41,26.6,3.76
motygino,100,RU,1604024389,96,58.18,94.76,18.79,6.02
souillac,27,MU,1604024389,65,-20.52,57.52,68.0,5.99
birjand,0,IR,1604024389,9,32.87,59.22,30.2,9.17
cortez,1,US,1604024389,59,37.35,-108.59,39.0,3.36
dalvik,20,IS,1604024389,70,65.97,-18.53,44.6,8.05
hilo,90,US,1604024388,78,19.73,-155.09,80.6,4.7
carnarvon,75,AU,1604024389,69,-24.87,113.63,77.0,14.99
kapaa,1,US,1604024390,58,22.08,-159.32,82.4,11.41
kaitangata,100,NZ,1604024390,88,-46.28,169.85,62.01,4.81
dikson,100,RU,1604024275,93,73.51,80.55,9.1,25.9
bengkulu,99,ID,1604024390,87,-3.8,102.27,76.6,2.71
korla,90,CN,1604024390,74,41.76,86.15,42.01,1.99
georgetown,20,MY,1604024282,79,5.41,100.34,84.2,5.82
kavieng,100,PG,1604024390,77,-2.57,150.8,81.25,8.23
san luis,58,ML,1604024390,18,13.3,-4.9,76.5,5.17
alice springs,1,US,1604024391,48,27.75,-98.07,62.6,11.41
hithadhoo,64,MV,1604024281,77,-0.6,73.08,82.9,11.48
erseke,18,AL,1604024391,88,40.34,20.68,44.85,3.2
new norfolk,40,LR,1604024391,94,6.65,-10.59,77.0,1.99
necochea,0,AR,1604024391,74,-38.55,-58.74,43.5,1.32
vanavara,100,RU,1604024391,96,60.34,102.28,18.52,6.08
marsa matruh,20,MT,1604024392,88,35.88,14.5,66.0,9.17
punta arenas,100,PH,1604024392,89,8.99,125.34,78.04,1.03
sao felix do xingu,0,IN,1604024392,57,20.51,76.21,70.25,0.43
halifax,100,CA,1604024106,93,44.65,-63.57,44.01,1.01
lompoc,1,US,1604024386,87,34.64,-120.46,59.0,6.93
wanning,100,CN,1604024392,88,18.8,110.4,77.59,15.57
katangli,7,RU,1604024392,74,51.71,143.23,40.51,7.58
bredasdorp,12,ZA,1604024392,66,-34.53,20.04,50.0,5.82
arraial do cabo,100,BR,1604024393,94,-22.84,-46.65,68.0,11.41
hermanus,42,ZA,1604024393,87,-34.42,19.23,46.0,2.08
lata,0,PT,1604024393,100,40.16,-8.33,55.99,3.36
bondo,100,CD,1604024393,98,3.81,23.69,69.4,0.81
kalevala,88,RU,1604024393,83,65.2,31.17,43.59,12.5
mahebourg,17,MU,1604024292,65,-20.41,57.7,66.99,5.99
nuevitas,0,CU,1604024394,86,21.55,-77.26,79.02,8.21
olinda,40,BR,1604024349,74,-8.01,-34.86,80.6,9.17
college,90,US,1604024313,72,64.86,-147.8,17.6,5.82
taiobeiras,100,BR,1604024395,95,-15.81,-42.23,67.96,4.5
port blair,100,CD,1604024175,63,-7.03,29.76,75.45,2.48
roma,90,US,1604024395,81,43.21,-75.46,42.8,7.72
geraldton,0,AU,1604024395,28,-28.77,114.6,93.2,8.05
butaritari,72,KI,1604024115,75,3.07,172.79,82.04,11.52
kavaratti,0,IN,1604024395,68,10.57,72.64,82.87,6.98
poum,100,NC,1604024396,71,-20.23,164.02,77.54,13.56
sitka,40,US,1604024321,81,57.05,-135.33,44.6,10.29
avarua,97,CK,1604024396,69,-21.21,-159.78,77.0,11.41
puerto ayora,0,ES,1604024396,58,36.59,-6.23,57.2,6.93
tasiilaq,100,GL,1604024396,64,65.61,-37.64,35.6,24.16
vanimo,100,PG,1604024396,88,-2.67,141.3,77.43,6.02
thompson,88,CA,1604024397,98,55.74,-97.86,23.2,5.32
egvekinot,4,RU,1604024397,86,66.32,-179.17,14.4,0.87
victoria,96,HK,1604024264,77,22.29,114.16,77.0,8.16
port hedland,100,CD,1604024175,63,-7.03,29.76,75.45,2.48
qaanaaq,5,GL,1604024397,71,77.48,-69.36,4.96,6.29
kununurra,92,AU,1604024364,39,-15.77,128.73,96.8,5.82
seydi,0,TM,1604024397,69,39.48,62.91,37.35,8.55
ahipara,100,NZ,1604024397,67,-35.17,173.17,67.46,11.03
bluff,100,NZ,1604024398,91,-46.6,168.33,61.0,1.99
madang,100,PG,1604024398,67,-5.22,145.8,83.01,3.87
coatesville,90,US,1604024293,100,39.98,-75.82,48.0,4.7
kodiak,1,US,1604024323,56,57.79,-152.41,41.0,3.36
severo-kurilsk,48,RU,1604024383,80,50.68,156.12,44.1,12.46
guiratinga,100,BR,1604024398,92,-16.35,-53.76,70.77,1.61
teya,100,RU,1604024398,92,60.38,92.63,9.84,3.62
mbandaka,100,CD,1604024399,96,0.05,18.26,69.67,2.89
saposoa,100,PE,1604024399,85,-6.93,-76.77,75.38,2.95
beloha,0,MG,1604024399,79,-25.17,45.05,65.66,11.74
dakar,0,SN,1604024399,74,14.69,-17.44,78.8,13.87
xiongzhou,51,CN,1604024399,67,25.12,114.3,70.0,4.68
taoudenni,0,ML,1604024400,19,22.68,-3.98,75.25,14.63
barrow,40,US,1604024208,85,71.29,-156.79,24.8,12.75
kroya,30,ID,1604024400,74,-7.63,109.25,84.88,1.79
codrington,0,AU,1604024400,78,-38.27,141.97,59.65,12.24
auki,100,SB,1604024400,88,-8.77,160.7,77.13,5.84
mount gambier,100,GB,1604024400,96,53.66,-1.85,57.99,7.0
lake city,90,US,1604024400,59,42.33,-88.0,37.4,5.82
coro,79,VE,1604024401,82,11.4,-69.67,80.02,8.37
jamestown,90,US,1604024401,93,42.1,-79.24,43.0,11.41
port-gentil,100,GA,1604024401,81,-0.72,8.78,77.61,0.87
nuevo progreso,1,US,1604024128,20,33.8,-117.15,75.2,1.19
torbay,97,CA,1604024402,86,47.67,-52.73,41.0,3.0
marawi,100,PH,1604024402,86,8.0,124.29,81.0,5.01
singaraja,100,ID,1604024402,59,-8.11,115.09,87.04,3.69
guerrero negro,100,MX,1604024402,81,17.67,-100.0,69.04,5.3
bontang,59,ID,1604024316,67,0.13,117.5,83.66,7.31
khatanga,0,RU,1604024402,85,71.97,102.5,0.95,11.74
upernavik,100,GL,1604024403,97,72.79,-56.15,22.91,5.03
esperance,100,AU,1604024403,42,-33.87,121.9,66.2,12.75
sorland,98,NO,1604024404,73,67.67,12.69,39.15,14.88
caravelas,100,BR,1604024404,84,-17.71,-39.25,76.46,9.66
provideniya,0,RU,1604024405,63,64.38,-173.3,28.4,0.51
asau,100,RO,1604024405,88,46.43,26.4,48.0,4.23
nanortalik,100,GL,1604024405,94,60.14,-45.24,29.8,12.03
tuktoyaktuk,25,CA,1604024360,95,69.45,-133.04,5.29,6.13
narsaq,51,GL,1604024405,86,60.92,-46.05,30.2,2.24
castro,100,BR,1604024405,96,-24.79,-50.01,60.24,5.19
awbari,0,LY,1604024406,48,26.59,12.78,59.63,9.73
kurumkan,100,RU,1604024406,86,54.3,110.3,33.31,1.68
longyearbyen,20,SJ,1604024407,57,78.22,15.64,19.4,17.22
niquelandia,99,BR,1604024407,71,-14.47,-48.46,73.76,1.32
iqaluit,0,CA,1604024290,90,63.75,-68.51,4.44,8.97
beringovskiy,0,RU,1604024407,82,63.05,179.32,25.83,3.96
wangqing,0,CN,1604024407,56,43.32,129.76,42.87,3.33
cabo san lucas,40,BR,1604024408,74,-8.28,-35.03,80.6,9.17
kalmunai,60,LK,1604024408,75,7.42,81.82,80.06,8.52
aromashevo,100,RU,1604024408,94,56.86,68.64,34.16,9.08
tieli,69,CN,1604024408,70,46.95,128.05,38.52,4.85
oranjestad,20,AW,1604024408,83,12.52,-70.03,82.4,12.75
lorengau,100,PG,1604024409,74,-2.02,147.27,84.15,9.37
bathurst,99,AU,1604024250,46,-33.42,149.58,69.01,7.0
bambous virieux,6,MU,1604024409,65,-20.26,57.41,68.0,5.99
sao joaquim da barra,0,IN,1604024392,57,20.51,76.21,70.25,0.43
paamiut,0,GL,1604024409,88,61.99,-49.67,27.23,8.59
tanete,61,ID,1604024410,58,-3.94,119.78,85.91,4.99
aklavik,35,CA,1604024410,92,68.22,-135.01,9.23,6.71
husavik,20,IS,1604024271,70,66.04,-17.34,44.6,8.05
alofi,75,NU,1604024115,61,-19.06,-169.92,78.8,18.34
malakal,96,SS,1604024410,76,9.53,31.66,73.89,4.21
teeli,100,RU,1604024411,83,51.03,90.23,23.59,1.01
saldanha,0,ZA,1604024398,75,-33.01,17.94,44.6,4.7
reconquista,0,AR,1604024411,54,-29.15,-59.65,56.7,9.4
faanui,0,PF,1604024286,79,-16.48,-151.75,80.22,9.98
kahului,75,US,1604024411,55,20.89,-156.47,87.8,8.05
chuy,6,UY,1604024342,88,-33.7,-53.46,49.46,6.69
rio gallegos,20,GR,1604024143,93,38.3,21.78,53.6,4.09
yellowknife,80,CA,1604024412,94,62.46,-114.35,16.0,3.58
ostrovnoy,100,RU,1604024412,93,68.05,39.51,36.97,11.25
kattivakkam,75,IN,1604024412,100,13.22,80.32,77.0,10.42
san cristobal,58,ML,1604024412,18,13.3,-4.9,76.5,5.17
beruwala,100,LK,1604024412,80,6.48,79.98,78.94,4.7
ust-nera,100,RU,1604024412,88,64.57,143.2,10.72,2.8
morro bay,36,EC,1604024413,88,-2.63,-80.33,70.39,12.86
pudem,87,RU,1604024413,95,58.3,52.17,29.59,6.8
cap-aux-meules,100,CA,1604024413,76,47.38,-61.86,37.18,24.61
hailar,64,CN,1604024413,70,49.2,119.7,37.76,10.69
huarmey,100,PE,1604024413,83,-10.07,-78.15,63.57,8.79
atuona,86,PF,1604024414,73,-9.8,-139.03,78.15,15.39
lahaina,75,US,1604024414,69,20.88,-156.68,87.8,5.82
medea,20,DZ,1604024414,93,36.26,2.75,50.0,3.51
leova,9,MD,1604024414,76,46.48,28.26,51.98,1.45
tiznit,78,MA,1604024390,22,29.58,-9.5,71.82,10.71
vardo,75,NO,1604024326,81,70.37,31.11,36.61,19.98
abu kamal,0,IN,1604024414,46,24.6,72.7,61.18,3.47
yenagoa,100,NG,1604024415,93,4.92,6.26,75.88,2.86
manggar,100,ID,1604024415,72,-2.88,108.27,84.74,7.38
shaowu,5,CN,1604024166,59,27.34,117.48,73.26,1.39
coahuayana,17,MX,1604024415,83,18.73,-103.68,78.62,0.4
tanout,0,NE,1604024415,17,14.97,8.89,77.63,11.14
fairbanks,90,US,1604024416,78,64.84,-147.72,17.6,3.36
saint-augustin,85,CA,1604024192,87,51.23,-58.65,28.74,13.13
port macquarie,100,CD,1604024175,63,-7.03,29.76,75.45,2.48
laguna,1,US,1604024167,44,38.42,-121.42,66.0,2.8
sibolga,12,ID,1604024416,59,1.74,98.78,85.51,1.05
pevek,100,RU,1604024414,95,69.7,170.31,19.81,11.43
ribeira grande,75,ES,1604024416,87,42.75,-8.44,51.01,5.82
mumford,7,GH,1604024417,87,5.26,-0.76,77.38,7.0
nyurba,100,RU,1604024417,88,63.28,118.33,0.48,6.98
saskylakh,47,RU,1604024268,84,71.92,114.08,-0.15,6.13
constitucion,0,CL,1604024417,72,-35.33,-72.42,56.44,5.44
phatthalung,100,TH,1604024418,67,7.5,100.08,83.68,2.95
skaerbaek,90,DK,1604024418,93,55.16,8.77,48.99,8.05
pangody,90,RU,1604024418,96,65.85,74.49,9.64,8.39
taybad,0,IR,1604024418,66,34.74,60.78,33.58,5.35
lavrentiya,0,RU,1604024419,88,65.58,-171.0,25.18,3.89
fuerte olimpo,86,PH,1604024419,68,17.54,120.36,84.16,4.79
aitape,100,PG,1604024419,86,-3.14,142.35,78.13,1.79
mys shmidta,100,RU,1604024420,95,62.06,48.62,41.97,8.14
ixtapa,5,MX,1604024420,78,20.7,-105.2,80.6,4.7
faranah,11,GN,1604024420,61,10.04,-10.74,67.89,0.87
luderitz,0,NA,1604024420,74,-26.65,15.16,56.39,27.83
pullman,1,US,1604024420,62,46.73,-117.18,51.8,6.93
batagay,100,RU,1604024331,91,67.63,134.63,2.64,1.39
belmonte,75,BR,1604024421,94,-15.86,-38.88,73.4,5.82
tinskoy,86,RU,1604024421,80,56.15,96.92,26.8,9.4
west wendover,5,US,1604024421,87,31.8,-97.09,52.0,4.7
iberia,1,US,1604024421,66,29.95,-91.75,55.4,17.22
pangai,40,TO,1604024421,61,-19.8,-174.35,77.0,14.99
hamilton,90,US,1604024421,87,39.18,-84.53,45.0,11.41
kaeo,100,NZ,1604024421,73,-35.1,173.78,68.0,8.01
abonnema,40,NG,1604024421,94,4.71,6.79,75.2,2.91
petropavlovsk-kamchatskiy,75,RU,1604024422,61,53.05,158.65,46.4,2.24
caledon,0,ZA,1604024422,87,-34.23,19.43,46.0,1.16
nemuro,75,JP,1604024422,66,43.32,145.57,48.2,10.29
mogadishu,0,SO,1604024395,80,2.04,45.34,78.73,6.13
saint-philippe,75,RE,1604024275,56,-21.36,55.77,69.8,14.99
valencia,0,ES,1604024177,87,39.33,-0.83,57.99,4.7
jiujiang,0,CN,1604024422,60,29.73,115.98,66.83,12.39
kiama,40,AU,1604024423,49,-34.68,150.87,69.8,11.41
naze,40,JP,1604024423,53,28.37,129.48,77.0,12.75
maniitsoq,81,GL,1604024424,89,65.42,-52.9,24.98,11.72
galesong,19,ID,1604024424,65,-5.32,119.37,86.29,10.69
wewak,100,PG,1604024424,76,-3.55,143.63,78.76,1.07
tual,0,ID,1604024336,73,-5.67,132.75,82.87,9.42
benalla,75,AU,1604024424,64,-36.55,145.98,72.0,8.05
bay roberts,90,US,1604024425,74,43.73,-84.02,37.4,4.7
lujan,3,AR,1604024425,86,-34.57,-59.1,55.99,6.98
bonavista,39,CA,1604024425,87,48.65,-53.11,37.99,11.01
marsabit,96,KE,1604024425,94,2.33,37.99,63.77,19.44
vokhma,16,RU,1604024425,97,58.93,46.76,31.42,6.85
zletovo,75,MK,1604024425,93,41.99,22.24,50.0,2.24
labuhan,86,ID,1604024425,61,-6.88,112.21,87.51,9.53
lagoa,100,PT,1604024426,90,39.05,-27.98,67.24,10.78
byron bay,90,US,1604024244,64,44.03,-92.65,33.8,4.7
kungurtug,62,RU,1604024426,77,50.6,97.52,23.11,2.66
san patricio,58,ML,1604024426,18,13.3,-4.9,76.5,5.17
hofn,100,IS,1604024427,87,64.25,-15.21,45.07,12.5
vila velha,75,PT,1604024427,93,42.03,-8.16,57.0,6.93
agadez,0,NE,1604024427,24,19.75,10.25,68.34,11.95
macae,0,BR,1604024316,100,-22.37,-41.79,77.0,2.24
lixourion,6,GR,1604024427,69,38.2,20.43,65.41,15.95
phan rang,40,TH,1604024427,94,19.55,99.74,75.0,11.41
baykit,96,RU,1604024428,92,61.67,96.37,11.14,2.44
sembe,94,CG,1604024428,95,1.65,14.58,67.42,0.81
kieta,78,PG,1604024428,73,-6.22,155.63,84.45,11.16
garowe,33,SO,1604024428,73,8.41,48.48,75.85,7.36
kozhevnikovo,100,RU,1604024428,99,56.26,83.97,31.28,7.61
fort nelson,100,NL,1604024140,95,52.65,6.39,57.0,7.0
sobolevo,100,RU,1604024429,87,54.43,31.9,45.03,6.04
nehe,100,CN,1604024429,64,48.48,124.83,38.82,15.59
fortuna,1,US,1604024429,100,40.6,-124.16,54.0,1.23
buala,100,SB,1604024429,79,-8.14,159.59,81.01,9.08
ponta do sol,100,PT,1604024429,96,38.73,-28.27,64.04,10.92
dingle,100,PH,1604024430,84,11.0,122.67,80.71,9.04
green river,90,US,1604024430,87,40.95,-81.48,48.2,10.29
ferme-neuve,51,CA,1604024430,92,46.7,-75.45,24.13,8.21
cidreira,100,BR,1604024431,66,-30.18,-50.21,60.51,9.53
siderno,28,IT,1604024432,97,38.28,16.3,46.0,10.83
paracuru,36,BR,1604024432,75,-3.41,-39.03,80.01,18.01
